,Name of movie,Year of release,Gross collection,Movie Rating,Director,Popularity
0,Avatar: The Way of Water,2022,Unknown,7.7,Unknown,2244.6
1,Puss in Boots: The Last Wish,2022,Unknown,8.3,Unknown,1081.528
2,Adrenaline,2022,Unknown,6.0,Unknown,728.154
3,Pirates Down the Street II: The Ninjas from Across,2022,Unknown,6.8,Unknown,737.353
4,Attack on Titan,2022,Unknown,6.0,Unknown,516.128
5,The Communion Girl,2023,Unknown,6.2,Unknown,641.009
6,Black Panther: Wakanda Forever,2022,Unknown,7.3,Unknown,604.121
7,The Elderly,2023,Unknown,5.8,Unknown,589.943
8,Supercell,2023,Unknown,6.3,Unknown,508.39
9,Sisu,2023,Unknown,7.1,Unknown,499.199
10,Black Adam,2022,Unknown,7.1,Unknown,496.534
11,That Time I Got Reincarnated as a Slime the Movie: Scarlet Bond,2022,Unknown,7.6,Unknown,469.563
12,The Devil Conspiracy,2023,Unknown,6.2,Unknown,529.906
13,M3GAN,2022,Unknown,7.4,Unknown,462.352
14,Marcel the Shell with Shoes On,2022,Unknown,7.8,Unknown,449.33
15,Prizefighter: The Life of Jem Belcher,2022,Unknown,6.2,Unknown,331.261
16,Shotgun Wedding,2022,Unknown,6.3,Unknown,337.303
17,The Exorcist,2022,Unknown,5.8,Unknown,373.419
18,The Amazing Maurice,2022,Unknown,7.0,Unknown,352.834
19,Guardians of the Galaxy Vol. 2,2017,Unknown,7.6,Unknown,352.704
20,The Quintessential Quintuplets Movie,2022,Unknown,8.5,Unknown,320.34
21,Fall,2022,Unknown,7.3,Unknown,335.756
22,Cazadora,2023,Unknown,6.0,Unknown,250.464
23,Shark Side of the Moon,2022,Unknown,5.3,Unknown,273.259
24,The Forbidden Legend: Sex & Chopsticks 2,2009,Unknown,6.2,Unknown,274.478
25,Sniper: The White Raven,2022,Unknown,7.5,Unknown,293.822
26,"To Me, the One Who Loved You",2022,Unknown,5.9,Unknown,278.897
27,To Every You I've Loved Before,2022,Unknown,6.3,Unknown,271.453
28,Thor: Love and Thunder,2022,Unknown,6.6,Unknown,286.107
29,Ip Man: The Awakening,2023,Unknown,4.8,Unknown,249.833
30,Top Gun: Maverick,2022,Unknown,8.3,Unknown,262.282
31,Spider-Man: No Way Home,2021,Unknown,8.0,Unknown,258.269
32,Gold Run,2022,Unknown,6.7,Unknown,228.42
33,Troll,2022,Unknown,6.7,Unknown,227.612
